[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
  > 10:02:57 >> pos-milio*040202
  > 10:02:58 >> pos-milio*040102
  > 10:02:59 >> pos-milio*040002
  > 10:02:59 >> pos-milio*031402
  > 10:04:55 >> pos-milio*040002
  > 10:04:55 >> pos-milio*040102
  > 10:04:56 >> pos-milio*040202
  > 10:04:57 >> pos-milio*040302
  > 10:04:58 >> pos-milio*040402
  > 10:04:59 >> pos-milio*040502
  > 10:05:00 >> pos-milio*040602
  > 10:05:01 >> pos-milio*040502
  > 10:05:01 >> pos-milio*040402
  > 10:05:03 >> pos-milio*040302
  > 10:05:04 >> pos-milio*040202
  > 10:05:14 >> pos-milio*040203
  > 10:05:15 >> pos-milio*040204
  > 10:05:16 >> pos-milio*040205
  > 10:05:19 >> pos-milio*040206
  > 10:05:19 >> pos-milio*040207
  > 10:05:21 >> pos-milio*040208
  > 10:05:21 >> pos-milio*040209
  > 10:05:25 >> pos-milio*040309
  > 10:05:26 >> pos-milio*040409
  > 10:05:27 >> pos-milio*040509
  > 10:05:28 >> pos-milio*040609
  > 10:05:28 >> pos-milio*040709
  > 10:05:29 >> pos-milio*040809
  > 10:05:30 >> pos-milio*040909
  > 10:05:31 >> pos-milio*041009
  > 10:05:32 >> pos-milio*041109
  > 10:05:33 >> pos-milio*041209
  > 10:05:33 >> pos-milio*041309
  > 10:05:34 >> pos-milio*041409
  > 10:05:35 >> pos-milio*050009
  > 10:05:35 >> pos-milio*050109
  > 10:05:36 >> pos-milio*050209
  > 10:05:37 >> pos-milio*050309
  > 10:05:38 >> pos-milio*050409
  > 10:05:39 >> pos-milio*050410
  > 10:05:39 >> pos-milio*050411
  > 10:05:40 >> pos-milio*050412
  > 10:05:41 >> pos-milio*050413
  > 10:05:41 >> pos-milio*050414
  > 10:05:42 >> pos-milio*080401
  > 10:05:43 >> pos-milio*080402
  > 10:05:43 >> pos-milio*080403
  > 10:05:44 >> pos-milio*080404
  > 10:05:45 >> pos-milio*080405
  > 10:05:46 >> pos-milio*080505
  > 10:05:53 >> pos-milio*080405
  > 10:05:54 >> pos-milio*080305
  > 10:05:55 >> pos-milio*080205
  > 10:05:56 >> pos-milio*080105
  > 10:05:57 >> pos-milio*080005
  > 10:05:57 >> pos-milio*071405
  > 10:06:12 >> bd-milio
  > 10:06:13 >> okbd-milio*0501010731101000101230
  > 10:06:19 >> conectar-milio*05010107
  > 10:06:23 >> bd-garrulo
  > 10:06:25 >> okbd-garrulo*030101031100100010123100
  > 10:06:28 >> conectar-garrulo*03010103
  > 10:06:30 >> pos-garrulo*030201
  > 10:06:31 >> pos-garrulo*030301
  > 10:06:32 >> pos-garrulo*030401
  > 10:06:33 >> pos-garrulo*030501
  > 10:06:34 >> pos-garrulo*030601
  > 10:06:34 >> pos-garrulo*030701
  > 10:06:35 >> pos-garrulo*030801
  > 10:06:36 >> pos-garrulo*030901
  > 10:06:37 >> pos-garrulo*031001
  > 10:06:38 >> conectar-milio*05010107
  > 10:06:39 >> conectar-garrulo*03100103
  > 10:06:39 >> pos-garrulo*031101
  > 10:06:40 >> pos-garrulo*031201
  > 10:06:41 >> pos-garrulo*031301
  > 10:06:43 >> pos-garrulo*031401
  > 10:06:43 >> pos-garrulo*040001
  > 10:06:44 >> pos-garrulo*040002
  > 10:06:45 >> pos-garrulo*040003
  > 10:06:45 >> pos-garrulo*040004
  > 10:06:46 >> pos-garrulo*040005
  > 10:06:47 >> pos-garrulo*040006
  > 10:06:47 >> pos-garrulo*040007
  > 10:06:48 >> pos-garrulo*040008
  > 10:06:49 >> pos-garrulo*040009
  > 10:06:50 >> pos-garrulo*040010
  > 10:06:50 >> pos-garrulo*040011
  > 10:06:51 >> pos-garrulo*040111
  > 10:06:52 >> pos-garrulo*040211
  > 10:06:53 >> pos-garrulo*040311
  > 10:06:54 >> pos-garrulo*040411
  > 10:06:54 >> pos-garrulo*040511
  > 10:06:55 >> pos-garrulo*040611
  > 10:06:56 >> pos-garrulo*040711
  > 10:06:57 >> pos-garrulo*040811
  > 10:06:58 >> pos-garrulo*040911
  > 10:06:58 >> pos-garrulo*041011
  > 10:06:59 >> pos-garrulo*041111
  > 10:07:01 >> pos-garrulo*041211
  > 10:07:02 >> pos-garrulo*041311
  > 10:07:03 >> pos-garrulo*041411
  > 10:07:03 >> pos-garrulo*050011
  > 10:07:04 >> pos-garrulo*050111
  > 10:07:05 >> pos-garrulo*050211
  > 10:07:06 >> pos-garrulo*050311
  > 10:07:07 >> pos-garrulo*050411
  > 10:07:07 >> pos-garrulo*050410
  > 10:07:08 >> pos-garrulo*050409
  > 10:07:08 >> pos-garrulo*050408
  > 10:07:09 >> pos-garrulo*050407
  > 10:07:10 >> pos-garrulo*050406
  > 10:07:11 >> pos-garrulo*050405
  > 10:07:11 >> pos-garrulo*050404
  > 10:07:12 >> pos-garrulo*050403
  > 10:07:14 >> pos-garrulo*050402
  > 10:07:14 >> pos-garrulo*050401
  > 10:07:15 >> pos-garrulo*020414
  > 10:07:16 >> pos-garrulo*050401
  > 10:07:17 >> pos-garrulo*050301
  > 10:07:17 >> pos-garrulo*050201
  > 10:07:18 >> pos-garrulo*050101
  > 10:07:19 >> combate-milio*garrulo$01%100
  > 10:07:20 >> combate-garrulo*milio$11%100
  > 10:07:21 >> combate-milio*garrulo$01%100
  > 10:07:30 >> accion-milio*0
  > 10:07:32 >> accion-milio*0
  > 10:07:33 >> accion-milio*0
  > 10:07:33 >> accion-milio*0
  > 10:07:34 >> accion-milio*0
  > 10:07:35 >> accion-milio*0
  > 10:07:36 >> accion-milio*0
  > 10:07:37 >> accion-milio*0
  > 10:07:37 >> accion-milio*0
  > 10:07:39 >> accion-milio*0
  > 10:07:39 >> accion-milio*0
  > 10:07:40 >> accion-milio*0
  > 10:07:42 >> accion-milio*0
  > 10:07:44 >> accion-milio*0
  > 10:07:54 >> accion-milio*0
  > 10:07:55 >> accion-milio*0
  > 10:07:56 >> accion-milio*0
  > 10:07:57 >> pos-milio*050707
  > 10:07:58 >> accion-garrulo*6
  > 10:12:13 >> bd-garrulo
  > 10:12:14 >> okbd-garrulo*030101031100100010123100
  > 10:12:18 >> conectar-garrulo*03010103
  > 10:12:24 >> bd-milio
  > 10:12:26 >> okbd-milio*0501010731101000101230
  > 10:12:29 >> conectar-milio*05010107
  > 10:12:30 >> conectar-garrulo*03010103
  > 10:12:31 >> conectar-milio*05010107
  > 10:12:33 >> pos-milio*050001
  > 10:12:34 >> pos-milio*041401
  > 10:12:35 >> pos-milio*041301
  > 10:12:37 >> pos-milio*041201
  > 10:12:38 >> pos-milio*041101
  > 10:12:40 >> pos-milio*041001
  > 10:12:40 >> pos-milio*040901
  > 10:12:41 >> pos-milio*040801
  > 10:12:42 >> pos-milio*040701
  > 10:12:43 >> pos-milio*040601
  > 10:12:44 >> pos-milio*040501
  > 10:12:45 >> pos-milio*040401
  > 10:12:46 >> pos-milio*040301
  > 10:12:47 >> pos-milio*040201
  > 10:12:48 >> pos-milio*040101
  > 10:12:49 >> pos-milio*040001
  > 10:12:51 >> pos-milio*031401
  > 10:12:52 >> pos-milio*031301
  > 10:12:53 >> pos-milio*031201
  > 10:12:53 >> pos-milio*031101
  > 10:12:55 >> pos-milio*031001
  > 10:12:56 >> pos-milio*030901
  > 10:12:58 >> pos-milio*030801
  > 10:12:58 >> pos-milio*030701
  > 10:12:59 >> pos-milio*030601
  > 10:13:00 >> pos-milio*030501
  > 10:13:02 >> pos-milio*030401
  > 10:13:02 >> pos-milio*030301
  > 10:13:04 >> pos-milio*030201
  > 10:13:05 >> pos-milio*030101
  > 10:13:05 >> combate-garrulo*milio$11%100
  > 10:13:07 >> combate-milio*garrulo$01%100
  > 10:13:08 >> combate-garrulo*milio$11%100
  > 10:13:19 >> accion-garrulo*0
  > 10:13:21 >> accion-garrulo*0
  > 10:13:24 >> accion-garrulo*2
  > 10:13:27 >> accion-garrulo*2
  > 10:13:28 >> accion-garrulo*2
  > 10:13:29 >> accion-garrulo*2
  > 10:13:31 >> accion-garrulo*2
  > 10:13:36 >> accion-garrulo*2
  > 10:13:38 >> accion-garrulo*0
  > 10:13:40 >> accion-garrulo*0
  > 10:13:41 >> accion-garrulo*0
  > 10:13:43 >> accion-garrulo*0
  > 10:13:43 >> accion-garrulo*0
  > 10:13:44 >> accion-garrulo*0
  > 10:13:46 >> accion-milio*0
  > 10:13:49 >> accion-milio*1
  > 10:13:52 >> accion-milio*0
  > 10:13:53 >> accion-milio*0
  > 10:13:54 >> accion-milio*0
  > 10:13:55 >> accion-milio*0
  > 10:13:55 >> accion-milio*0
  > 10:13:56 >> accion-milio*0
  > 10:13:57 >> accion-milio*0
  > 10:13:58 >> accion-milio*0
  > 10:13:59 >> accion-milio*0
  > 10:14:00 >> accion-milio*0
  > 10:14:01 >> accion-milio*0
  > 10:14:01 >> accion-milio*0
  > 10:14:03 >> accion-milio*0
  > 10:14:04 >> accion-milio*0
  > 10:14:06 >> accion-milio*0
  > 10:14:07 >> accion-milio*0
  > 10:14:08 >> pos-milio*050707
  > 10:14:09 >> accion-garrulo*6
  > 10:14:10 >> pos-milio*050807
  > 10:14:12 >> pos-milio*050707
  > 10:14:13 >> pos-milio*050607
  > 10:14:15 >> pos-milio*050507
  > 10:14:16 >> pos-milio*050407
  > 10:14:16 >> pos-milio*050307
  > 10:14:17 >> pos-milio*050308
  > 10:14:18 >> pos-milio*050309
  > 10:14:19 >> pos-milio*050310
  > 10:14:20 >> pos-garrulo*030102
  > 10:14:21 >> pos-garrulo*030103
  > 10:14:21 >> pos-garrulo*030104
  > 10:14:22 >> pos-garrulo*030105
  > 10:14:23 >> pos-garrulo*030106
  > 10:14:24 >> pos-garrulo*030107
  > 10:14:25 >> pos-garrulo*030108
  > 10:14:25 >> pos-garrulo*030109
  > 10:14:26 >> pos-garrulo*030110
[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
[ Hora: 11:28:16 ]
[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
[ Hora: 11:29:04 ]
  > 11:29:24 >> bd-garrulo
  > 11:29:28 >> okbd-garrulo*030101031100100010123100
  > 11:29:35 >> conectar-garrulo*03010103
  > 11:29:41 >> bd-bienexo
  > 11:29:43 >> okbd-bienexo*0301010100001000101230
  > 11:29:45 >> conectar-bienexo*03010101
  > 11:29:46 >> conectar-garrulo*03010103
  > 11:29:47 >> conectar-bienexo*03010101
  > 11:29:48 >> pos-bienexo*030201
  > 11:29:49 >> pos-bienexo*030301
  > 11:29:50 >> pos-bienexo*030201
  > 11:29:50 >> pos-bienexo*030101
  > 11:29:51 >> combate-garrulo*bienexo$01%100
  > 11:29:52 >> combate-bienexo*garrulo$01%100
  > 11:29:53 >> combate-garrulo*bienexo$01%100
  > 11:29:57 >> accion-garrulo*0
  > 11:29:58 >> accion-garrulo*0
  > 11:30:08 >> accion-garrulo*0
  > 11:30:09 >> accion-garrulo*0
  > 11:30:10 >> accion-garrulo*0
  > 11:30:11 >> accion-garrulo*0
  > 11:30:12 >> accion-garrulo*0
  > 11:30:13 >> accion-garrulo*0
  > 11:30:14 >> accion-garrulo*0
  > 11:30:15 >> accion-garrulo*0
  > 11:30:16 >> accion-garrulo*0
  > 11:30:18 >> accion-garrulo*0
  > 11:30:20 >> accion-bienexo*0
  > 11:30:25 >> accion-garrulo*0
  > 11:30:26 >> accion-garrulo*0
  > 11:30:27 >> accion-garrulo*0
  > 11:30:28 >> accion-garrulo*0
  > 11:30:29 >> accion-garrulo*0
  > 11:30:30 >> pos-garrulo*030707
  > 11:30:31 >> accion-bienexo*6
  > 11:30:33 >> pos-garrulo*030607
  > 11:30:34 >> pos-garrulo*030507
  > 11:30:35 >> pos-garrulo*030407
  > 11:30:36 >> pos-garrulo*030307
  > 11:30:37 >> pos-garrulo*030207
  > 11:30:38 >> pos-garrulo*030206
  > 11:30:39 >> pos-garrulo*030205
  > 11:30:40 >> pos-garrulo*030204
  > 11:30:40 >> pos-garrulo*030203
  > 11:30:41 >> pos-garrulo*030202
  > 11:30:42 >> pos-garrulo*030201
  > 11:30:43 >> pos-garrulo*030101
  > 11:30:43 >> combate-bienexo*garrulo$01%100
  > 11:30:44 >> combate-garrulo*bienexo$01%94
  > 11:30:45 >> combate-bienexo*garrulo$01%100
  > 11:30:46 >> accion-bienexo*0
  > 11:30:47 >> accion-bienexo*0
  > 11:30:48 >> accion-bienexo*0
  > 11:30:49 >> accion-bienexo*0
  > 11:30:49 >> accion-bienexo*0
  > 11:30:50 >> accion-bienexo*0
  > 11:30:50 >> accion-bienexo*0
  > 11:30:51 >> accion-bienexo*0
  > 11:30:52 >> accion-bienexo*0
  > 11:30:53 >> accion-bienexo*0
  > 11:30:54 >> accion-bienexo*0
  > 11:30:55 >> accion-bienexo*0
  > 11:30:56 >> accion-bienexo*0
  > 11:30:56 >> accion-bienexo*0
  > 11:30:57 >> accion-bienexo*0
  > 11:30:58 >> accion-bienexo*0
  > 11:31:00 >> pos-bienexo*030707
  > 11:31:00 >> accion-garrulo*6
  > 11:31:04 >> pos-garrulo*030102
  > 11:31:07 >> pos-garrulo*030103
  > 11:31:08 >> pos-garrulo*030104
  > 11:31:09 >> pos-garrulo*030105
  > 11:31:10 >> pos-garrulo*030106
  > 11:31:11 >> pos-garrulo*030107
  > 11:31:12 >> pos-garrulo*030108
  > 11:31:12 >> pos-garrulo*030109
  > 11:31:14 >> pos-garrulo*030110
  > 11:31:14 >> pos-garrulo*030111
  > 11:31:15 >> pos-garrulo*030112
  > 11:31:16 >> pos-garrulo*030113
  > 11:31:16 >> pos-garrulo*030114
  > 11:31:17 >> pos-garrulo*060101
  > 11:31:18 >> pos-garrulo*060201
  > 11:31:18 >> pos-garrulo*060301
  > 11:31:19 >> pos-garrulo*060401
  > 11:31:20 >> pos-garrulo*060501
  > 11:31:21 >> pos-garrulo*060601
  > 11:31:22 >> pos-garrulo*030614
  > 11:31:22 >> pos-garrulo*030714
  > 11:31:23 >> pos-garrulo*030713
  > 11:31:24 >> pos-garrulo*030712
  > 11:31:25 >> pos-garrulo*030711
  > 11:31:26 >> pos-garrulo*030710
  > 11:31:27 >> pos-garrulo*030709
  > 11:31:27 >> pos-garrulo*030708
  > 11:35:18 >> bd-garrulo
  > 11:35:19 >> okbd-garrulo*030101031100100010123100
  > 11:35:22 >> conectar-garrulo*03010103
  > 11:35:30 >> bd-milio
  > 11:35:32 >> okbd-milio*0501010731101000101230
  > 11:35:34 >> conectar-milio*05010107
  > 11:35:37 >> pos-milio*050001
  > 11:35:38 >> pos-milio*041401
  > 11:35:39 >> pos-milio*041301
  > 11:35:40 >> pos-milio*041201
  > 11:35:42 >> conectar-garrulo*03010103
  > 11:35:43 >> conectar-milio*04120107
  > 11:35:44 >> pos-milio*041101
  > 11:35:45 >> pos-milio*041001
  > 11:35:46 >> pos-milio*040901
  > 11:35:47 >> pos-milio*040801
  > 11:35:47 >> pos-milio*040701
  > 11:35:48 >> pos-milio*040601
  > 11:35:49 >> pos-milio*040501
  > 11:35:50 >> pos-milio*040401
  > 11:35:51 >> pos-milio*040301
  > 11:35:53 >> pos-milio*040201
  > 11:35:54 >> pos-milio*040101
  > 11:35:55 >> pos-milio*040001
  > 11:35:56 >> pos-milio*031401
  > 11:35:57 >> pos-milio*031301
  > 11:35:59 >> pos-milio*031201
  > 11:36:00 >> pos-milio*031101
  > 11:36:01 >> pos-milio*031001
  > 11:36:01 >> pos-milio*030901
  > 11:36:03 >> pos-milio*030801
  > 11:36:04 >> pos-milio*030701
  > 11:36:05 >> pos-milio*030601
  > 11:36:06 >> pos-milio*030501
  > 11:36:07 >> pos-milio*030401
  > 11:36:08 >> pos-milio*030301
  > 11:36:09 >> pos-milio*030201
  > 11:36:10 >> pos-milio*030101
  > 11:36:11 >> combate-garrulo*milio$11%100
  > 11:36:12 >> combate-milio*garrulo$01%100
  > 11:36:13 >> combate-garrulo*milio$11%100
[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
[ Hora: 12:24:20 ]
  > 12:24:34 >> bd-garrulo
  > 12:24:36 >> okbd-garrulo*030101031100100010123100
  > 12:24:38 >> conectar-garrulo*03010103
  > 12:24:40 >> pos-garrulo*030102
  > 12:24:48 >> pos-garrulo*030103
  > 12:24:49 >> pos-garrulo*030102
  > 12:24:50 >> pos-garrulo*030101
  > 12:24:54 >> pos-garrulo*000114
  > 12:24:57 >> pos-garrulo*030101
  > 12:24:58 >> pos-garrulo*030102
  > 12:24:59 >> pos-garrulo*030103
  > 12:24:59 >> pos-garrulo*030104
  > 12:25:00 >> pos-garrulo*030105
  > 12:25:01 >> pos-garrulo*030106
  > 12:25:02 >> pos-garrulo*030107
  > 12:25:03 >> pos-garrulo*030108
  > 12:25:03 >> pos-garrulo*030109
  > 12:25:04 >> pos-garrulo*030110
  > 12:25:05 >> pos-garrulo*030111
  > 12:25:06 >> pos-garrulo*030112
  > 12:25:06 >> pos-garrulo*030113
  > 12:25:07 >> pos-garrulo*030114
  > 12:25:08 >> pos-garrulo*060101
  > 12:25:08 >> pos-garrulo*060102
  > 12:25:09 >> pos-garrulo*060103
  > 12:25:10 >> pos-garrulo*060203
  > 12:25:11 >> pos-garrulo*060303
  > 12:25:11 >> pos-garrulo*060403
  > 12:25:12 >> pos-garrulo*060503
  > 12:25:13 >> pos-garrulo*060603
  > 12:25:14 >> pos-garrulo*060703
  > 12:25:14 >> pos-garrulo*060803
  > 12:25:15 >> pos-garrulo*060903
  > 12:25:16 >> pos-garrulo*061003
  > 12:25:17 >> pos-garrulo*061103
  > 12:25:18 >> pos-garrulo*061203
  > 12:25:19 >> pos-garrulo*061303
  > 12:25:20 >> pos-garrulo*061403
  > 12:25:21 >> pos-garrulo*070003
  > 12:25:21 >> pos-garrulo*070103
  > 12:25:22 >> pos-garrulo*070203
  > 12:25:23 >> pos-garrulo*070303
  > 12:25:24 >> pos-garrulo*070403
  > 12:25:25 >> pos-garrulo*070503
  > 12:25:25 >> pos-garrulo*070603
  > 12:25:26 >> pos-garrulo*070703
  > 12:25:27 >> pos-garrulo*070803
  > 12:25:28 >> pos-garrulo*070903
  > 12:25:29 >> pos-garrulo*071003
  > 12:25:30 >> pos-garrulo*071103
  > 12:25:31 >> pos-garrulo*071203
  > 12:25:32 >> pos-garrulo*071303
  > 12:25:32 >> pos-garrulo*071403
  > 12:25:33 >> pos-garrulo*080003
  > 12:25:34 >> pos-garrulo*080002
  > 12:25:35 >> pos-garrulo*080001
  > 12:25:36 >> pos-garrulo*050014
  > 12:25:36 >> pos-garrulo*050013
  > 12:25:37 >> pos-garrulo*050012
  > 12:25:38 >> pos-garrulo*050011
  > 12:25:39 >> pos-garrulo*050010
  > 12:25:40 >> pos-garrulo*050009
  > 12:25:40 >> pos-garrulo*050008
  > 12:25:41 >> pos-garrulo*050007
  > 12:25:42 >> pos-garrulo*050006
  > 12:25:43 >> pos-garrulo*050005
  > 12:25:44 >> pos-garrulo*050004
  > 12:25:45 >> pos-garrulo*050003
  > 12:25:45 >> pos-garrulo*050002
  > 12:25:46 >> pos-garrulo*050001
  > 12:25:47 >> pos-garrulo*020014
  > 12:25:48 >> pos-garrulo*020013
  > 12:25:49 >> pos-garrulo*020012
  > 12:25:50 >> pos-garrulo*020011
  > 12:25:51 >> pos-garrulo*020010
  > 12:25:51 >> pos-garrulo*020009
  > 12:25:52 >> pos-garrulo*020010
